"","signature_name","gene_id","gene_type","gene_name","weight"
"181","NonResponse_Ivy","ENSG00000163468.15","protein_coding","CCT3",NA
"182","NonResponse_Ivy","ENSG00000175768.13","protein_coding","TOMM5",NA
"183","NonResponse_Ivy","ENSG00000145220.14","protein_coding","LYAR",NA
"184","NonResponse_Ivy","ENSG00000169139.12","protein_coding","UBE2V2",NA
"185","NonResponse_Ivy","ENSG00000007968.7","protein_coding","E2F2",NA
"186","NonResponse_Ivy","ENSG00000157456.8","protein_coding","CCNB2",NA
"187","NonResponse_Ivy","ENSG00000163808.17","protein_coding","KIF15",NA
"188","NonResponse_Ivy","ENSG00000087586.18","protein_coding","AURKA",NA
"189","NonResponse_Ivy","ENSG00000119403.15","protein_coding","PHF19",NA
"190","NonResponse_Ivy","ENSG00000143476.18","protein_coding","DTL",NA
"191","NonResponse_Ivy","ENSG00000076003.5","protein_coding","MCM6",NA
"192","NonResponse_Ivy","ENSG00000143621.17","protein_coding","ILF2",NA
"193","NonResponse_Ivy","ENSG00000123219.13","protein_coding","CENPK",NA
"194","NonResponse_Ivy","ENSG00000071539.14","protein_coding","TRIP13",NA
"195","NonResponse_Ivy","ENSG00000163655.16","protein_coding","GMPS",NA
"196","NonResponse_Ivy",NA,NA,"FAM64A",NA
"197","NonResponse_Ivy","ENSG00000112742.10","protein_coding","TTK",NA
"198","NonResponse_Ivy","ENSG00000114503.11","protein_coding","NCBP2",NA
"199","NonResponse_Ivy","ENSG00000176890.16","protein_coding","TYMS",NA
"200","NonResponse_Ivy","ENSG00000166197.17","protein_coding","NOLC1",NA
"201","NonResponse_Ivy",NA,NA,"PTTG3",NA
"202","NonResponse_Ivy","ENSG00000104738.18","protein_coding","MCM4",NA
"203","NonResponse_Ivy","ENSG00000113569.16","protein_coding","NUP155",NA
"204","NonResponse_Ivy","ENSG00000100162.15","protein_coding","CENPM",NA
"205","NonResponse_Ivy","ENSG00000151465.14","protein_coding","CDC123",NA
"206","NonResponse_Ivy","ENSG00000138778.14","protein_coding","CENPE",NA
"207","NonResponse_Ivy","ENSG00000143321.19","protein_coding","HDGF",NA
"208","NonResponse_Ivy","ENSG00000066279.19","protein_coding","ASPM",NA
"209","NonResponse_Ivy","ENSG00000123473.17","protein_coding","STIL",NA
"210","NonResponse_Ivy","ENSG00000102384.14","protein_coding","CENPI",NA
"211","NonResponse_Ivy",NA,NA,"KIAA1524",NA
"212","NonResponse_Ivy","ENSG00000088325.16","protein_coding","TPX2",NA
"213","NonResponse_Ivy","ENSG00000112118.20","protein_coding","MCM3",NA
"214","NonResponse_Ivy",NA,NA,"CTPS",NA
"215","NonResponse_Ivy","ENSG00000111665.12","protein_coding","CDCA3",NA
"216","NonResponse_Ivy","ENSG00000261236.8","protein_coding","BOP1",NA
"217","NonResponse_Ivy","ENSG00000169607.13","protein_coding","CKAP2L",NA
"218","NonResponse_Ivy",NA,NA,"C16orf61",NA
"219","NonResponse_Ivy","ENSG00000165704.15","protein_coding","HPRT1",NA
"220","NonResponse_Ivy","ENSG00000183814.16","protein_coding","LIN9",NA
"221","NonResponse_Ivy","ENSG00000011426.11","protein_coding","ANLN",NA
"222","NonResponse_Ivy","ENSG00000123416.15","protein_coding","TUBA1B",NA
"223","NonResponse_Ivy","ENSG00000173894.11","protein_coding","CBX2",NA
"224","NonResponse_Ivy","ENSG00000106554.13","protein_coding","CHCHD3",NA
"225","NonResponse_Ivy","ENSG00000065911.13","protein_coding","MTHFD2",NA
"226","NonResponse_Ivy","ENSG00000085840.13","protein_coding","ORC1",NA
"227","NonResponse_Ivy","ENSG00000164087.8","protein_coding","POC1A",NA
"228","NonResponse_Ivy","ENSG00000187522.16","protein_coding","HSPA14",NA
"229","NonResponse_Ivy","ENSG00000139734.19","protein_coding","DIAPH3",NA
"230","NonResponse_Ivy","ENSG00000085415.16","protein_coding","SEH1L",NA
"231","NonResponse_Ivy","ENSG00000178999.13","protein_coding","AURKB",NA
"232","NonResponse_Ivy","ENSG00000066855.16","protein_coding","MTFR1",NA
"233","NonResponse_Ivy","ENSG00000073111.14","protein_coding","MCM2",NA
"234","NonResponse_Ivy","ENSG00000184575.12","protein_coding","XPOT",NA
"235","NonResponse_Ivy","ENSG00000198805.12","protein_coding","PNP",NA
"236","NonResponse_Ivy","ENSG00000114346.14","protein_coding","ECT2",NA
"237","NonResponse_Ivy","ENSG00000144231.11","protein_coding","POLR2D",NA
"238","NonResponse_Ivy","ENSG00000132646.11","protein_coding","PCNA",NA
"239","NonResponse_Ivy","ENSG00000075131.10","protein_coding","TIPIN",NA
"240","NonResponse_Ivy","ENSG00000144381.18","protein_coding","HSPD1",NA
"241","NonResponse_Ivy","ENSG00000163006.12","protein_coding","CCDC138",NA
"242","NonResponse_Ivy","ENSG00000173660.12","protein_coding","UQCRH",NA
"243","NonResponse_Ivy","ENSG00000130826.19","protein_coding","DKC1",NA
"244","NonResponse_Ivy","ENSG00000104147.9","protein_coding","OIP5",NA
"245","NonResponse_Ivy",NA,NA,"SLMO2",NA
"246","NonResponse_Ivy","ENSG00000119969.15","protein_coding","HELLS",NA
"247","NonResponse_Ivy",NA,NA,"C20orf24",NA
"248","NonResponse_Ivy","ENSG00000096063.16","protein_coding","SRPK1",NA
"249","NonResponse_Ivy",NA,NA,"SGOL1",NA
"250","NonResponse_Ivy","ENSG00000149554.14","protein_coding","CHEK1",NA
"251","NonResponse_Ivy","ENSG00000104064.18","protein_coding","GABPB1",NA
"252","NonResponse_Ivy","ENSG00000197170.10","protein_coding","PSMD12",NA
"253","NonResponse_Ivy","ENSG00000163918.12","protein_coding","RFC4",NA
"254","NonResponse_Ivy","ENSG00000228716.7","protein_coding","DHFR",NA
"255","NonResponse_Ivy","ENSG00000035499.13","protein_coding","DEPDC1B",NA
"256","NonResponse_Ivy","ENSG00000135446.17","protein_coding","CDK4",NA
"257","NonResponse_Ivy","ENSG00000183765.23","protein_coding","CHEK2",NA
"258","NonResponse_Ivy","ENSG00000138180.16","protein_coding","CEP55",NA
"259","NonResponse_Ivy","ENSG00000176619.13","protein_coding","LMNB2",NA
"260","NonResponse_Ivy","ENSG00000065328.17","protein_coding","MCM10",NA
